bidding_exercise,category,month,year,quota_premium,adjusted_premium
1,Cat B: >1600cc or >97kW,Jan,2022,77700,86388.04576231613
1,Cat C: Buses,Jan,2022,42200,46918.60400475857
1,Cat D: Motorcycles,Jan,2022,9689,10772.378061661275
2,Cat A: ≤1600cc or ≤97kW,Dec,2021,58801,65601.22275029565
2,Cat B: >1600cc or >97kW,Dec,2021,80989,90355.22234866234
2,Cat C: Buses,Dec,2021,44000,49088.51551866479
2,Cat D: Motorcycles,Dec,2021,9601,10711.337215788652
1,Cat A: ≤1600cc or ≤97kW,Dec,2021,57010,63603.097039069995
1,Cat B: >1600cc or >97kW,Dec,2021,80401,89699.22127764019
1,Cat C: Buses,Dec,2021,45000,50204.16359863445
1,Cat D: Motorcycles,Dec,2021,9401,10488.207599794721
2,Cat A: ≤1600cc or ≤97kW,Nov,2021,55001,61644.41903993365
2,Cat B: >1600cc or >97kW,Nov,2021,79601,89215.78516750166
2,Cat C: Buses,Nov,2021,43502,48756.48655615705
2,Cat D: Motorcycles,Nov,2021,9381,10514.105107427456
1,Cat A: ≤1600cc or ≤97kW,Nov,2021,53709,60196.36192461585
1,Cat B: >1600cc or >97kW,Nov,2021,82801,92802.30433856741
1,Cat C: Buses,Nov,2021,42001,47074.184907479015
1,Cat D: Motorcycles,Nov,2021,9381,10514.105107427456
2,Cat A: ≤1600cc or ≤97kW,Oct,2021,52709,59385.06951486063
2,Cat B: >1600cc or >97kW,Oct,2021,80210,90369.31882196535
2,Cat C: Buses,Oct,2021,40501,45630.816377115305
2,Cat D: Motorcycles,Oct,2021,9310,10489.195340138354
1,Cat A: ≤1600cc or ≤97kW,Oct,2021,47001,52954.0999121206
1,Cat B: >1600cc or >97kW,Oct,2021,70200,79091.46217805719
1,Cat C: Buses,Oct,2021,38890,43815.76871943938
1,Cat D: Motorcycles,Oct,2021,9052,10198.517316748914
2,Cat A: ≤1600cc or ≤97kW,Sep,2021,48000,54481.067828929445
2,Cat B: >1600cc or >97kW,Sep,2021,68310,77533.36965404522
2,Cat C: Buses,Sep,2021,39000,44265.867611005175
2,Cat D: Motorcycles,Sep,2021,9089,10316.217197857079
1,Cat A: ≤1600cc or ≤97kW,Sep,2021,47000,53346.04558249342
1,Cat B: >1600cc or >97kW,Sep,2021,62600,71052.39262689548
1,Cat C: Buses,Sep,2021,40001,45402.02487968764
1,Cat D: Motorcycles,Sep,2021,9689,10997.230545718696
2,Cat A: ≤1600cc or ≤97kW,Aug,2021,46689,53214.11475073514
2,Cat B: >1600cc or >97kW,Aug,2021,61001,69526.3169892179
2,Cat C: Buses,Aug,2021,40010,45601.67772230961
2,Cat D: Motorcycles,Aug,2021,9500,10827.69153616449
1,Cat A: ≤1600cc or ≤97kW,Aug,2021,45189,51504.47924502496
1,Cat B: >1600cc or >97kW,Aug,2021,56001,63827.531970183954
1,Cat C: Buses,Aug,2021,42589,48541.11103512731
1,Cat D: Motorcycles,Aug,2021,8899,10142.69757687661
2,Cat A: ≤1600cc or ≤97kW,Jul,2021,47010,53631.935016485455
2,Cat B: >1600cc or >97kW,Jul,2021,59501,67882.44555234846
2,Cat C: Buses,Jul,2021,39523,45090.29924817177
2,Cat D: Motorcycles,Jul,2021,8689,9912.952209279772
1,Cat A: ≤1600cc or ≤97kW,Jul,2021,45001,51339.942728714355
1,Cat B: >1600cc or >97kW,Jul,2021,56100,64002.37299350849
1,Cat C: Buses,Jul,2021,38900,44379.542057887345
1,Cat D: Motorcycles,Jul,2021,8502,9699.610965968079
2,Cat A: ≤1600cc or ≤97kW,Jun,2021,47821,54698.83101136961
2,Cat B: >1600cc or >97kW,Jun,2021,56032,64090.773911651
2,Cat C: Buses,Jun,2021,37000,42321.5061880905
2,Cat D: Motorcycles,Jun,2021,8501,9723.652002836685
1,Cat A: ≤1600cc or ≤97kW,Jun,2021,48510,55486.92608606135
1,Cat B: >1600cc or >97kW,Jun,2021,60109,68754.14636378194
1,Cat C: Buses,Jun,2021,37002,42323.79383707364
1,Cat D: Motorcycles,Jun,2021,8703,9954.704550133827
2,Cat A: ≤1600cc or ≤97kW,May,2021,41801,47810.27324404388
2,Cat B: >1600cc or >97kW,May,2021,58089,66439.82111608011
2,Cat C: Buses,May,2021,41701,47695.89733618511
2,Cat D: Motorcycles,May,2021,8701,9951.847742791459
1,Cat A: ≤1600cc or ≤97kW,May,2021,48002,54902.72329036612
1,Cat B: >1600cc or >97kW,May,2021,60001,68626.68847433977
1,Cat C: Buses,May,2021,43001,49182.7841383491
1,Cat D: Motorcycles,May,2021,8011,9162.653978565955
2,Cat A: ≤1600cc or ≤97kW,Apr,2021,49640,56827.54831028482
2,Cat B: >1600cc or >97kW,Apr,2021,61190,70049.91299569557
2,Cat C: Buses,Apr,2021,44001,50372.05788075831
2,Cat D: Motorcycles,Apr,2021,8000,9158.347834050737
1,Cat A: ≤1600cc or ≤97kW,Apr,2021,45600,52202.5826540892
1,Cat B: >1600cc or >97kW,Apr,2021,52309,59883.00210642
