"bidding_exercise","category","month","year","quota_premium","quota"
"1","Cat C: Buses","Oct",2020,33089,316
"1","Cat D: Motorcycles","Oct",2020,7451,429
"2","Cat A: ≤1600cc or ≤97kW","Sep",2020,38504,1034
"2","Cat B: >1600cc or >97kW","Sep",2020,40989,912
"2","Cat C: Buses","Sep",2020,28589,351
"2","Cat D: Motorcycles","Sep",2020,7331,494
"1","Cat A: ≤1600cc or ≤97kW","Sep",2020,37766,1035
"1","Cat B: >1600cc or >97kW","Sep",2020,41510,904
"1","Cat C: Buses","Sep",2020,26644,354
"1","Cat D: Motorcycles","Sep",2020,7399,496
"2","Cat A: ≤1600cc or ≤97kW","Aug",2020,35710,1034
"2","Cat B: >1600cc or >97kW","Aug",2020,38802,923
"2","Cat C: Buses","Aug",2020,25006,357
"2","Cat D: Motorcycles","Aug",2020,7432,495
"1","Cat A: ≤1600cc or ≤97kW","Aug",2020,33000,1022
"1","Cat B: >1600cc or >97kW","Aug",2020,37102,932
"1","Cat C: Buses","Aug",2020,24100,358
"1","Cat D: Motorcycles","Aug",2020,7701,503
"2","Cat A: ≤1600cc or ≤97kW","Jul",2020,32699,1304
"2","Cat B: >1600cc or >97kW","Jul",2020,35001,1339
